COMM:        sudo
KEY:         20995616
STATUS:      Training
NORM TIME:   2020-02-15 15:35:45
ANOMALIES:   0

TRAINING DATA:
                    CURR                     PREV            FLAGS
                   CLONE           RT_SIGPROCMASK            00000001
                   CLONE                   SENDTO            01000000
                   CLONE                 RECVFROM            00011000
                   CLONE                    FCNTL            10000000
                   CLONE                    PIPE2            00000010
                   WAIT4                     READ            11001100
                   WAIT4                    CLOSE            00100000
                   WAIT4           RT_SIGPROCMASK            01100011
                   WAIT4                    PPOLL            10010000
                   UNAME                     READ            11111000
                   UNAME                    CLOSE            00001011
                   UNAME                     STAT            11111110
                   UNAME                   SOCKET            00000100
                   UNAME                    FCNTL            00000010
                   UNAME                   GETCWD            01000000
                   UNAME                 READLINK            00000001
                   UNAME                    UMASK            10000000
                   UNAME                   OPENAT            00100000
                   FCNTL                     READ            11111111
                   FCNTL                    CLOSE            11100110
                   FCNTL                     STAT            00010010
                   FCNTL                    FSTAT            00110100
                   FCNTL                    LSEEK            11101001
                   FCNTL                      BRK            00001110
                   FCNTL             RT_SIGACTION            11110010
                   FCNTL                   ACCESS            00111100
                   FCNTL                    ALARM            11111101
                   FCNTL                   SOCKET            00001001
                   FCNTL                  CONNECT            00000100
                   FCNTL                   SENDTO            00000010
                   FCNTL                   EXECVE            00111000
                   FCNTL                    FCNTL            10111111
                   FCNTL                   GETUID            10010000
                   FCNTL                SETRESUID            10100000
                   FCNTL                SETRESGID            01000000
                   FCNTL               ARCH_PRCTL            00000111
                   FCNTL                   OPENAT            11011000
                   FCNTL                PRLIMIT64            11111111
                  GETCWD                     READ            00100000
                  GETCWD                    CLOSE            10010000
                  GETCWD                   MUNMAP            00000100
                  GETCWD           RT_SIGPROCMASK            01111000
                  GETCWD                    UMASK            00000011
                  GETCWD                GETGROUPS            00001100
                  GETCWD                   OPENAT            01000000
                READLINK                     READ            11111000
                READLINK                    CLOSE            00000100
                READLINK                   SOCKET            00000010
                READLINK                    FCNTL            00000001
                   UMASK                     READ            11011010
                   UMASK                    CLOSE            01101101
                   UMASK                    FSTAT            10000100
                   UMASK                    LSEEK            00001000
                   UMASK                   MUNMAP            00000011
                   UMASK           RT_SIGPROCMASK            11111110
                   UMASK                   SENDTO            10000000
                   UMASK                  RECVMSG            10000000
                   UMASK                    UMASK            00100001
                   UMASK                   SETGID            00000001
                   UMASK                GETGROUPS            00000111
                   UMASK                SETGROUPS            00000010
                   UMASK                SETRESUID            10010010
                   UMASK                SETRESGID            00100100
                   UMASK                    PRCTL            00000100
                   UMASK                   OPENAT            00110000
                   UMASK                PRLIMIT64            11111001
                  GETUID                     READ            11110110
                  GETUID                    CLOSE            10001011
                  GETUID                     STAT            10000000
                  GETUID                     POLL            00001000
                  GETUID                     MMAP            11110000
                  GETUID                 MPROTECT            00000100
                  GETUID             RT_SIGACTION            11111110
                  GETUID           RT_SIGPROCMASK            01111000
                  GETUID                    IOCTL            00000100
                  GETUID                    ALARM            10000100
                  GETUID                   GETPID            01000000
                  GETUID                   SOCKET            01000000
                  GETUID                   SENDTO            10010000
                  GETUID                 RECVFROM            00000110
                  GETUID                    FCNTL            11101000
                  GETUID                    UMASK            00000001
                  GETUID                   SETGID            00000010
                  GETUID                  GETPPID            00100000
                  GETUID                SETGROUPS            00000100
                  GETUID                  GETPGID            00010000
                  GETUID                   GETSID            00000001
                  GETUID              SETPRIORITY            00000001
                  GETUID                    PRCTL            00001000
                  GETUID                   OPENAT            00001000
                  GETUID                PRLIMIT64            11110000
                  GETGID                    CLOSE            00001000
                  GETGID                    IOCTL            00010000
                  GETGID                   GETUID            00000010
                  GETGID                  GETEUID            00000001
                  GETGID                  GETPPID            10000000
                  GETGID                  GETPGID            01000000
                  GETGID                   GETSID            00000100
                  GETGID                   OPENAT            00100000
                  SETUID                     READ            10000010
                  SETUID                    CLOSE            01000001
                  SETUID                    FSTAT            00000100
                  SETUID                    LSEEK            00001000
                  SETUID                    UMASK            00100000
                  SETUID                   OPENAT            00010000
                  SETGID                SETGROUPS            00000001
                  SETGID                    PRCTL            00000010
                  SETGID                PRLIMIT64            11111100
                 GETEUID                     READ            11010110
                 GETEUID                    CLOSE            00100111
                 GETEUID                     STAT            00000001
                 GETEUID                    FSTAT            01100100
                 GETEUID                    LSEEK            00001000
                 GETEUID                    IOCTL            00001000
                 GETEUID                   GETPID            10000000
                 GETEUID                   GETUID            00000001
                 GETEUID                  GETPPID            01000000
                 GETEUID                  GETPGID            00100000
                 GETEUID                   GETSID            00000010
                 GETEUID                   OPENAT            10010000
                 GETEGID                    CLOSE            00010000
                 GETEGID                    IOCTL            00100000
                 GETEGID                   GETUID            00000100
                 GETEGID                   GETGID            00000001
                 GETEGID                  GETEUID            00000010
                 GETEGID                  GETPGID            10000000
                 GETEGID                   GETSID            00001000
                 GETEGID                   OPENAT            01000000
                 GETPPID                     STAT            00000010
                 GETPPID             RT_SIGACTION            11111000
                 GETPPID           RT_SIGPROCMASK            00000100
                 GETPPID                   GETPID            00000001
                 GETPGRP                    CLOSE            00010001
                 GETPGRP                     POLL            10000000
                 GETPGRP           RT_SIGPROCMASK            00000100
                 GETPGRP                 RECVFROM            01100000
                 GETPGRP                    CLONE            00000010
                 GETPGRP                    PIPE2            00001000
               GETGROUPS                     READ            00110110
               GETGROUPS                    CLOSE            00011011
               GETGROUPS                    FSTAT            01100000
               GETGROUPS                    LSEEK            11000000
               GETGROUPS                GETGROUPS            00000001
               GETGROUPS                   OPENAT            10001100
               SETGROUPS                     READ            10000100
               SETGROUPS                    CLOSE            01010010
               SETGROUPS                     STAT            01111110
               SETGROUPS                    FSTAT            00001000
               SETGROUPS                    LSEEK            00010000
               SETGROUPS                   MUNMAP            11111011
               SETGROUPS           RT_SIGPROCMASK            11111111
               SETGROUPS                  RECVMSG            11000000
               SETGROUPS                SETGROUPS            11111110
               SETGROUPS                SETRESUID            10000011
               SETGROUPS                SETRESGID            00001101
               SETGROUPS                    PRCTL            00000001
               SETGROUPS                   OPENAT            00100000
               SETGROUPS                PRLIMIT64            11111110
               SETRESUID                     READ            11111110
               SETRESUID                    CLOSE            11111111
               SETRESUID                     STAT            10111100
               SETRESUID                    FSTAT            11111000
               SETRESUID                     POLL            00001000
               SETRESUID                    LSEEK            10101010
               SETRESUID                   MUNMAP            11110000
               SETRESUID                      BRK            00100000
               SETRESUID           RT_SIGPROCMASK            11000000
               SETRESUID                    IOCTL            00000010
               SETRESUID                   SOCKET            10010000
               SETRESUID                  CONNECT            01001000
               SETRESUID                   SENDTO            00110100
               SETRESUID                 RECVFROM            11000110
               SETRESUID                    FCNTL            01000101
               SETRESUID                 READLINK            00100000
               SETRESUID                SETGROUPS            10111101
               SETRESUID                SETRESUID            11000110
               SETRESUID                GETRESUID            01000000
               SETRESUID                SETRESGID            11001011
               SETRESUID                GETRESGID            00100000
               SETRESUID               GETDENTS64            00110000
               SETRESUID                   OPENAT            11010000
               GETRESUID                     READ            00100010
               GETRESUID                    CLOSE            01000001
               GETRESUID                    FSTAT            00000100
               GETRESUID                    LSEEK            00001000
               GETRESUID                    IOCTL            00010000
               GETRESUID                SETRESUID            00000100
