COMM:        firefox
KEY:         22291138
STATUS:      Training
NORM TIME:   2020-02-15 15:38:29
ANOMALIES:   0

TRAINING DATA:
                    CURR                     PREV            FLAGS
                    PIPE                    FSTAT            00010000
             SCHED_YIELD                    FSTAT            11111100
                 MADVISE                    FSTAT            11111111
                     DUP                    FSTAT            11111011
                  GETPID                    FSTAT            11111110
                  SOCKET                    FSTAT            01111000
                 CONNECT                    FSTAT            11111100
                  SENDTO                    FSTAT            11100000
                RECVFROM                    FSTAT            11111110
                 SENDMSG                    FSTAT            10011000
                 RECVMSG                    FSTAT            11111111
             GETSOCKNAME                    FSTAT            10000000
             GETPEERNAME                    FSTAT            00111000
              SETSOCKOPT                    FSTAT            11110000
              GETSOCKOPT                    FSTAT            11111111
                   CLONE                    FSTAT            11111010
                  EXECVE                    FSTAT            00010000
                   WAIT4                    FSTAT            10001100
                   UNAME                    FSTAT            11111100
                   FCNTL                    FSTAT            11111111
                   FSYNC                    FSTAT            11111111
               FTRUNCATE                    FSTAT            11111101
                  RENAME                    FSTAT            11111110
                   MKDIR                    FSTAT            11111110
                  UNLINK                    FSTAT            11111111
                 SYMLINK                    FSTAT            00010010
                READLINK                    FSTAT            11111111
                   UMASK                    FSTAT            00001010
               GETRUSAGE                    FSTAT            11100000
                 SYSINFO                    FSTAT            11111000
                  GETUID                    FSTAT            11111111
                  GETGID                    FSTAT            00010000
                 GETEUID                    FSTAT            11111111
                 GETEGID                    FSTAT            10001000
               GETRESUID                    FSTAT            00000100
               GETRESGID                    FSTAT            10000010
                  STATFS                    FSTAT            11111100
                 FSTATFS                    FSTAT            11110100
             GETPRIORITY                    FSTAT            11000000
             SETPRIORITY                    FSTAT            11100000
                   PRCTL                    FSTAT            11100010
              ARCH_PRCTL                    FSTAT            00000100
                QUOTACTL                    FSTAT            11111111
                  GETTID                    FSTAT            11111110
               READAHEAD                    FSTAT            11111000
                   FUTEX                    FSTAT            11111111
       SCHED_GETAFFINITY                    FSTAT            10000000
              GETDENTS64                    FSTAT            11111110
               FADVISE64                    FSTAT            11111100
       INOTIFY_ADD_WATCH                    FSTAT            11001010
                  OPENAT                    FSTAT            11111111
                   PPOLL                    FSTAT            10100000
         SET_ROBUST_LIST                    FSTAT            10000100
                EVENTFD2                    FSTAT            00010100
               PRLIMIT64                    FSTAT            10010101
               GETRANDOM                    FSTAT            11111100
                   STATX                    FSTAT            00000001
                    READ                    LSTAT            11111111
                   WRITE                    LSTAT            11111111
                   CLOSE                    LSTAT            11111111
                    STAT                    LSTAT            11111111
                   FSTAT                    LSTAT            11111110
                   LSTAT                    LSTAT            11111111
                    POLL                    LSTAT            11111111
                   LSEEK                    LSTAT            11111110
                    MMAP                    LSTAT            11111111
                MPROTECT                    LSTAT            11111111
                  MUNMAP                    LSTAT            11111110
            RT_SIGACTION                    LSTAT            11111110
                  WRITEV                    LSTAT            10000000
                  ACCESS                    LSTAT            11111111
                 MADVISE                    LSTAT            11111110
                     DUP                    LSTAT            11111110
                  GETPID                    LSTAT            01001000
                 SENDMSG                    LSTAT            11111100
                 RECVMSG                    LSTAT            11111111
                SHUTDOWN                    LSTAT            10010000
                   CLONE                    LSTAT            10111100
                   UNAME                    LSTAT            00100000
                   FCNTL                    LSTAT            11111111
                   FSYNC                    LSTAT            11111000
               FTRUNCATE                    LSTAT            11110100
                  GETCWD                    LSTAT            10000101
                  RENAME                    LSTAT            11111110
                   MKDIR                    LSTAT            11111111
                   RMDIR                    LSTAT            11111110
                  UNLINK                    LSTAT            11111110
                READLINK                    LSTAT            11111111
                   UMASK                    LSTAT            11100000
                  GETUID                    LSTAT            11111100
                  GETGID                    LSTAT            00011110
                 GETEUID                    LSTAT            11010000
                  STATFS                    LSTAT            01000000
                   PRCTL                    LSTAT            11000010
                QUOTACTL                    LSTAT            11111110
                  GETTID                    LSTAT            11111101
               READAHEAD                    LSTAT            00000010
                   FUTEX                    LSTAT            11111111
              GETDENTS64                    LSTAT            11111111
               FADVISE64                    LSTAT            10000000
                  OPENAT                    LSTAT            11111110
               GETRANDOM                    LSTAT            11111110
                    READ                     POLL            11111111
                   WRITE                     POLL            11111111
                   CLOSE                     POLL            11111111
                    STAT                     POLL            11111111
                   FSTAT                     POLL            11111110
                   LSTAT                     POLL            11111010
                    POLL                     POLL            11111111
                   LSEEK                     POLL            11111100
                    MMAP                     POLL            11111111
                MPROTECT                     POLL            11111111
                  MUNMAP                     POLL            11111111
            RT_SIGACTION                     POLL            11000100
          RT_SIGPROCMASK                     POLL            11111010
                   IOCTL                     POLL            11111111
                   PREAD                     POLL            11111110
                  WRITEV                     POLL            11111111
                  ACCESS                     POLL            11111110
                    PIPE                     POLL            10000000
             SCHED_YIELD                     POLL            11111111
                 MADVISE                     POLL            11111111
                  SHMGET                     POLL            11110100
                   SHMAT                     POLL            11111010
                  SHMCTL                     POLL            11111101
                     DUP                     POLL            11111110
                  GETPID                     POLL            11111111
                  SOCKET                     POLL            11111100
                 CONNECT                     POLL            11111111
                  SENDTO                     POLL            11111111
                RECVFROM                     POLL            11111111
                 SENDMSG                     POLL            11111111
                 RECVMSG                     POLL            11111111
                SHUTDOWN                     POLL            11111000
                    BIND                     POLL            10101010
             GETSOCKNAME                     POLL            11111111
             GETPEERNAME                     POLL            11111111
              SOCKETPAIR                     POLL            11111100
              SETSOCKOPT                     POLL            11111111
              GETSOCKOPT                     POLL            11111110
                   CLONE                     POLL            11111111
                   UNAME                     POLL            11111111
                   SHMDT                     POLL            11111111
                   FCNTL                     POLL            11111111
               FTRUNCATE                     POLL            11111000
                  GETCWD                     POLL            00100101
                   MKDIR                     POLL            00100000
                   RMDIR                     POLL            01010101
                  UNLINK                     POLL            11111000
                READLINK                     POLL            10000000
               GETRUSAGE                     POLL            11111111
                 SYSINFO                     POLL            11000000
                  GETUID                     POLL            11101000
                  GETGID                     POLL            01100000
                 GETEUID                     POLL            11111010
               GETRESUID                     POLL            10000000
               GETRESGID                     POLL            01000000
             GETPRIORITY                     POLL            11111000
             SETPRIORITY                     POLL            11111100
      SCHED_GETSCHEDULER                     POLL            10000000
                   PRCTL                     POLL            11111111
                QUOTACTL                     POLL            01100100
                  GETTID                     POLL            11111111
                   FUTEX                     POLL            11111111
       SCHED_GETAFFINITY                     POLL            01100000
              GETDENTS64                     POLL            10000000
         RESTART_SYSCALL                     POLL            11111110
           CLOCK_GETTIME                     POLL            11111100
              EPOLL_WAIT                     POLL            10000000
                  OPENAT                     POLL            11111111
                   PPOLL                     POLL            10000000
         SET_ROBUST_LIST                     POLL            10101010
                EVENTFD2                     POLL            10000000
               PRLIMIT64                     POLL            10000000
                SENDMMSG                     POLL            01011001
                 SECCOMP                     POLL            11010000
               GETRANDOM                     POLL            11111110
                    READ                    LSEEK            11111111
                   WRITE                    LSEEK            11111111
                   CLOSE                    LSEEK            11111111
                    STAT                    LSEEK            11111111
                   FSTAT                    LSEEK            11111111
                   LSTAT                    LSEEK            11111100
                    POLL                    LSEEK            11111110
                   LSEEK                    LSEEK            11111111
                    MMAP                    LSEEK            11111111
                MPROTECT                    LSEEK            11111111
                  MUNMAP                    LSEEK            11111110
            RT_SIGACTION                    LSEEK            10111100
                   IOCTL                    LSEEK            10100000
                  WRITEV                    LSEEK            11011000
                  ACCESS                    LSEEK            11111111
                 MADVISE                    LSEEK            11111111
                     DUP                    LSEEK            11011111
                  GETPID                    LSEEK            11111010
                  SOCKET                    LSEEK            11011000
                 CONNECT                    LSEEK            11101100
                  SENDTO                    LSEEK            11110000
                RECVFROM                    LSEEK            11111110
                 SENDMSG                    LSEEK            00010000
                 RECVMSG                    LSEEK            11111110
                    BIND                    LSEEK            10000000
             GETSOCKNAME                    LSEEK            11000000
             GETPEERNAME                    LSEEK            11000000
              SOCKETPAIR                    LSEEK            00100000
              SETSOCKOPT                    LSEEK            11100000
                   CLONE                    LSEEK            11000000
                   UNAME                    LSEEK            11111100
                   FCNTL                    LSEEK            11111111
                   FSYNC                    LSEEK            11111111
               FTRUNCATE                    LSEEK            11111111
                  RENAME                    LSEEK            11111111
                   MKDIR                    LSEEK            11111110
                  UNLINK                    LSEEK            11111110
                READLINK                    LSEEK            00000001
                 SYSINFO                    LSEEK            10100000
                  GETUID                    LSEEK            11111110
                 GETEUID                    LSEEK            11111111
                  STATFS                    LSEEK            10000000
                   PRCTL                    LSEEK            11000000
              ARCH_PRCTL                    LSEEK            10000000
                QUOTACTL                    LSEEK            11111111
                  GETTID                    LSEEK            11111100
                   FUTEX                    LSEEK            11111111
       SCHED_GETAFFINITY                    LSEEK            11000000
              GETDENTS64                    LSEEK            11100000
               FADVISE64                    LSEEK            11111100
                  OPENAT                    LSEEK            11111111
               FALLOCATE                    LSEEK            01010101
               GETRANDOM                    LSEEK            11010001
                    READ                     MMAP            11111111
                   WRITE                     MMAP            11111111
                    OPEN                     MMAP            11001110
                   CLOSE                     MMAP            11111111
                    STAT                     MMAP            11111111
                   FSTAT                     MMAP            11111111
                   LSTAT                     MMAP            11111110
                    POLL                     MMAP            11111111
                   LSEEK                     MMAP            11111110
                    MMAP                     MMAP            11111111
                MPROTECT                     MMAP            11111111
                  MUNMAP                     MMAP            11111111
                     BRK                     MMAP            00010000
            RT_SIGACTION                     MMAP            11111111
          RT_SIGPROCMASK                     MMAP            11111110
                   IOCTL                     MMAP            11111111
                  PWRITE                     MMAP            00010001
                  WRITEV                     MMAP            11111111
                  ACCESS                     MMAP            11111111
                    PIPE                     MMAP            10001001
             SCHED_YIELD                     MMAP            11111111
                 MADVISE                     MMAP            11111111
                  SHMGET                     MMAP            11000000
                   SHMAT                     MMAP            01100000
                  SHMCTL                     MMAP            10110000
                     DUP                     MMAP            11111111
                  GETPID                     MMAP            11111111
                  SOCKET                     MMAP            10000000
                 CONNECT                     MMAP            10001100
                  SENDTO                     MMAP            11111110
                RECVFROM                     MMAP            11111111
                 SENDMSG                     MMAP            11111111
                 RECVMSG                     MMAP            11111111
                SHUTDOWN                     MMAP            00000100
                    BIND                     MMAP            01000000
             GETSOCKNAME                     MMAP            00100000
             GETPEERNAME                     MMAP            10010010
              SOCKETPAIR                     MMAP            11110001
              SETSOCKOPT                     MMAP            11111100
                   CLONE                     MMAP            11111111
                  EXECVE                     MMAP            00100000
                   UNAME                     MMAP            11111110
                   SHMDT                     MMAP            10000000
                   FCNTL                     MMAP            11111111
                   FSYNC                     MMAP            11000010
               FTRUNCATE                     MMAP            11110111
                  GETCWD                     MMAP            10011100
                  RENAME                     MMAP            11110100
                   MKDIR                     MMAP            11111111
                  UNLINK                     MMAP            11111110
                READLINK                     MMAP            11100111
                   UMASK                     MMAP            01101111
               GETRUSAGE                     MMAP            11111111
                 SYSINFO                     MMAP            11111111
                  GETUID                     MMAP            11010010
                  GETGID                     MMAP            10100000
                 GETEUID                     MMAP            01000011
                 GETEGID                     MMAP            11010000
               GETRESUID                     MMAP            01001010
               GETRESGID                     MMAP            00100101
             SIGALTSTACK                     MMAP            11111101
                  STATFS                     MMAP            11110000
                 FSTATFS                     MMAP            11111101
             GETPRIORITY                     MMAP            11010000
             SETPRIORITY                     MMAP            11101000
