COMM:        sudo
KEY:         5264555
STATUS:      Training
NORM TIME:   2020-01-25 13:41:29
ANOMALIES:   0

TRAINING DATA:
                    CURR                     PREV            FLAGS
                   WAIT4                    PPOLL            11110000
                    KILL                     READ            11111100
                    KILL                    WRITE            11100000
                    KILL                    CLOSE            10000000
                    KILL                   MUNMAP            11111100
                    KILL             RT_SIGACTION            00000010
                    KILL           RT_SIGPROCMASK            01101111
                    KILL             RT_SIGRETURN            11110000
                    KILL                    IOCTL            00000100
                    KILL                   GETPID            00000001
                    KILL                    WAIT4            00010010
                    KILL                     KILL            10000001
                    KILL                  GETPGID            00000001
                    KILL                    PRCTL            00001100
                    KILL                   OPENAT            00001000
                    KILL                    PPOLL            11000000
                    KILL                PRLIMIT64            00110000
                   UNAME                     READ            00011110
                   UNAME                    CLOSE            00000001
                   UNAME                     STAT            00000110
                   UNAME                   GETCWD            01010000
                   UNAME                    UMASK            11100000
                   UNAME                GETGROUPS            10000000
                   UNAME                   OPENAT            00101000
                   FCNTL                     READ            11111111
                   FCNTL                    CLOSE            11101110
                   FCNTL                     STAT            00010010
                   FCNTL                    FSTAT            01110100
                   FCNTL                    LSEEK            10101001
                   FCNTL                      BRK            00101110
                   FCNTL             RT_SIGACTION            11100010
                   FCNTL                   ACCESS            00111100
                   FCNTL                    ALARM            11110101
                   FCNTL                   SOCKET            00001001
                   FCNTL                  CONNECT            00000100
                   FCNTL                   SENDTO            00000010
                   FCNTL                   EXECVE            00111000
                   FCNTL                    FCNTL            11111011
                   FCNTL                   GETUID            10010000
                   FCNTL                SETRESUID            10100000
                   FCNTL                SETRESGID            01000000
                   FCNTL               ARCH_PRCTL            00000111
                   FCNTL                   OPENAT            11011000
                   FCNTL                PRLIMIT64            11111111
                  GETCWD                     READ            00100000
                  GETCWD                    CLOSE            10010000
                  GETCWD                    UMASK            00000011
                  GETCWD                GETGROUPS            00001100
                  GETCWD                   OPENAT            01000000
                READLINK                     READ            11111000
                READLINK                    CLOSE            00000100
                READLINK                   SOCKET            00000010
                READLINK                    FCNTL            00000001
                   UMASK                     READ            11011010
                   UMASK                    CLOSE            01101101
                   UMASK                    FSTAT            10000100
                   UMASK                    LSEEK            00001000
                   UMASK                   SENDTO            10000000
                   UMASK                    UMASK            00100001
                   UMASK                   SETGID            00000001
                   UMASK                GETGROUPS            00000111
                   UMASK                SETGROUPS            00000010
                   UMASK                SETRESUID            10010010
                   UMASK                SETRESGID            00100100
                   UMASK                    PRCTL            00000100
                   UMASK                   OPENAT            00110000
                   UMASK                PRLIMIT64            11111001
                  GETUID                     READ            11111110
                  GETUID                    CLOSE            10001111
                  GETUID                     STAT            10100000
                  GETUID                    FSTAT            00100000
                  GETUID                     POLL            00001000
                  GETUID                     MMAP            11110000
                  GETUID                 MPROTECT            00000100
                  GETUID             RT_SIGACTION            11111110
                  GETUID           RT_SIGPROCMASK            01111000
                  GETUID                    IOCTL            00000100
                  GETUID                    ALARM            00000100
                  GETUID                   GETPID            01010000
                  GETUID                   SOCKET            01000000
                  GETUID                   SENDTO            10010000
                  GETUID                 RECVFROM            00000110
                  GETUID                    FCNTL            10101000
                  GETUID                    UMASK            00000001
                  GETUID                   SETGID            00000010
                  GETUID                  GETPPID            00101000
                  GETUID                SETGROUPS            00000100
                  GETUID                  GETPGID            00010100
                  GETUID                   GETSID            00000001
                  GETUID              GETPRIORITY            10000000
                  GETUID              SETPRIORITY            00000001
                  GETUID                    PRCTL            00001000
                  GETUID                   OPENAT            01001010
                  GETUID                PRLIMIT64            11110000
                  GETGID                    CLOSE            00001000
                  GETGID                     STAT            10000000
                  GETGID                    IOCTL            00010000
                  GETGID                   GETPID            01000000
                  GETGID                   GETUID            00000010
                  GETGID                  GETEUID            00000001
                  GETGID                  GETPPID            10100000
                  GETGID                  GETPGID            01010000
                  GETGID                   GETSID            00000100
                  GETGID                   OPENAT            00101000
                  SETUID                     READ            10000010
                  SETUID                    CLOSE            01000001
                  SETUID                    FSTAT            00000100
                  SETUID                    LSEEK            00001000
                  SETUID                    UMASK            00100000
                  SETUID                   OPENAT            00010000
                  SETGID                SETGROUPS            00000001
                  SETGID                    PRCTL            00000010
                  SETGID                PRLIMIT64            11111100
                 GETEUID                     READ            11010110
                 GETEUID                    CLOSE            00100111
                 GETEUID                     STAT            01000001
                 GETEUID                    FSTAT            01100100
                 GETEUID                    LSEEK            00001000
                 GETEUID           RT_SIGPROCMASK            10000000
                 GETEUID                    IOCTL            00001000
                 GETEUID                   GETPID            10100000
                 GETEUID                   GETUID            00000001
                 GETEUID                  GETPPID            01010000
                 GETEUID                  GETPGID            00101000
                 GETEUID                   GETSID            00000010
                 GETEUID                   OPENAT            10010100
                 GETEGID                    CLOSE            00010000
                 GETEGID                    IOCTL            00100000
                 GETEGID                   GETPID            10000000
                 GETEGID                   GETUID            00000100
                 GETEGID                   GETGID            00000001
                 GETEGID                  GETEUID            00000010
                 GETEGID                  GETPPID            01000000
                 GETEGID                  GETPGID            10100000
                 GETEGID                   GETSID            00001000
                 GETEGID                   OPENAT            01010000
                 GETPPID                     STAT            00000010
                 GETPPID             RT_SIGACTION            11111000
                 GETPPID           RT_SIGPROCMASK            00000100
                 GETPPID                   GETPID            00000001
                 GETPGRP                    CLOSE            00010001
